url,name,Parking Spaces,Floor Size,Garden,Listing Number,Type of Property,Listing Date,Pets Allowed,Reception Rooms,Erf Size,Pool,price2,address,days_since_listing,Bedrooms2,Bathrooms2,Garages,Parking
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114470617,4 Bedroom House for Sale,4.0,227.0,Yes,114470617.0,House,2024-05-30,Yes,0.0,250.0,No,3995000,Sandown,69,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114524522,3 Bedroom Apartment / Flat for Sale,2.0,108.0,Yes,114524522.0,Apartment / Flat,2024-06-15,Yes,0.0,108.0,Yes,2275000,Sandown,53,3.0,2.0,0.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114297727,2 Bedroom House for Sale,2.0,131.0,Yes,114297727.0,House,2024-04-19,Yes,2.0,,No,2300000,Sandown,110,2.0,2.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114583853,4 Bedroom House for Sale,3.0,,No,114583853.0,House,2024-06-26,Yes,0.0,313.0,No,4195000,Sandown,42,4.0,3.0,1.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114335394,3 Bedroom House for Sale,2.0,115.0,Yes,114335394.0,House,2024-04-29,No,0.0,250.0,No,2350000,Sandown,100,3.0,2.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114680414,3 Bedroom Townhouse for Sale,2.0,163.0,Yes,114680414.0,Townhouse,2024-07-18,Yes,0.0,,No,2929500,Sandown,20,3.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114521095,1 Bedroom Apartment / Flat for Sale,1.0,38.0,No,114521095.0,Apartment / Flat,2024-06-11,No,2.0,38.0,No,719900,Sandown,57,1.0,1.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114457973,3 Bedroom House for Sale,2.0,130.0,Yes,114457973.0,House,2024-05-27,Yes,0.0,250.0,Yes,2895000,Sandown,72,3.0,2.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114351880,4 Bedroom House for Sale,2.0,228.0,Yes,114351880.0,House,2024-05-02,,2.0,325.0,No,3995000,Sandown,97,4.0,3.0,2.0,0.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114478266,4 Bedroom House for Sale,4.0,241.0,Yes,114478266.0,House,2024-05-31,Yes,0.0,386.0,No,4495000,Sandown,68,4.0,3.0,2.0,2.0
